Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Jose Lopez,Village 4,14796,8,Yes,Already Connected,5,9,15,0,40,40,40,180,220,650,Kerosene,Yes,318.47858,20,No Problem,"['February', 'June', 'January']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,No,Yes,Already using,6-12 months,2149,687,Already using,Yes,Lighting,1623,Solar,No,Biogas,Sometimes available,4,42,10,Initial investment is high,1185,35.55,3,2,3,5,5,5,5,2
Jerry Hurt,Village 3,7567,5,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Long Power Cuts,"['February', 'January', 'June']","['Could not cook', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1118,Shop,No,Biogas,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,3,2
Bernard Quintanar,Village 2,14049,8,No,Can't afford electricity bill,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,Long Power Cuts,"['August', 'December', 'September']","['Children could not study', 'Could not charge a phone']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Cash,No,Yes,Already using,More than a year,2286,1029,Already using,Yes,Lighting,1880,Solar,No,Diesel,Always available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,5,0
Amanda Rocque,Village 2,9126,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Electrical applicances getting affected,"['February', 'August', 'April']","['Machines/appliances were damaged', 'Children could not study']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1618,Shop,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,3,0
Jessica Grubbs,Village 3,5765,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Fluctuations,"['August', 'February', 'March']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,766,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,2,5,5,2
Amanda Cardwell,Village 1,7617,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Electrical applicances getting affected,"['January', 'November', 'December']","['Could not cook', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,5,3
Melanie Vernon,Village 3,6670,4,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,582,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Carl Alvarado,Village 2,5007,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,No Problem,"['September', 'June', 'January']","['Children could not study', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1053,Shop,Yes,NA,NA,4,42,10,No subsidies are provided,260,7.8,2,0,4,5,2,5,3,0
Sarah Garza,Village 4,4887,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,Electrical applicances getting affected,"['September', 'August', 'May']","['Machines/appliances were damaged', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1656,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,5,5,1
Ethel Mckittrick,Village 2,14070,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,Kerosene,No,228.77288,4,Electrical applicances getting affected,"['October', 'January', 'April']","['Could not operate a household business', 'Could not charge a phone']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,Yes,Yes,Already using,1-3 months,1246,1148,Already using,Yes,Appliances,1213,Solar,No,Kerosene,Always available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,3,0
Susan Osterberg,Village 2,3369,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,Kerosene,Yes,123.68906,4,Fluctuations,"['October', 'May', 'April']","['Could not cook', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Landlord,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,261,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,5,3,0
Lola Knell,Village 2,8968,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Fluctuations,"['December', 'March', 'November']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Pre-paid meter card seller,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,291,Shop,No,Kerosene,Rarely available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,5,3,0
Merle Armstrong,Village 1,9406,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['November', 'February', 'August']","['Could not charge a phone', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Initial investment is high,1210,36.3,3,4,4,5,5,5,3,3
Janelle Alli,Village 4,5639,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,Long Power Cuts,"['November', 'August', 'June']","['Machines/appliances were damaged', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1244,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,2,5,5,2
Kimberly Wilson,Village 4,8889,4,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,20,Electrical applicances getting affected,"['November', 'August', 'January']","['Could not operate a household business', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Online,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1989,Grid,No,Diesel,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
Maria Jiron,Village 1,3402,2,Yes,Already Connected,22,3,30,10,0,50,0,0,0,0,LPG,Yes,131.37812,8,Fluctuations,"['February', 'September', 'December']","['Could not cook', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Landlord,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,Low income,90,2.7,1,4,4,3,2,5,5,1
Harold Thomas,Village 1,14550,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,Fluctuations,"['November', 'October', 'May']","['Could not operate a household business', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Landlord,Online,No,Yes,Already using,1-3 months,1233,739,Already using,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,5,5,5,3
Stan Hughes,Village 1,14760,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,6-12 months,1290,777,Already using,Yes,NA,NA,Shop,No,Biogas,Rarely available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Elizabeth Odell,Village 2,9666,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,No Problem,"['October', 'December', 'March']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Landlord,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,527,Grid,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,5,5,5,5,0
Jane Cook,Village 3,12390,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,1-3 months,1995,930,Already using,Yes,Lighting,1648,Shop,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Stephen Burrell,Village 4,11012,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Electrical applicances getting affected,"['February', 'November', 'December']","['Could not charge a phone', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,866,Grid,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,3,2
Carter Demaria,Village 2,12224,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,More than a year,1531,1256,Already using,Yes,Lighting,1019,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Tatum Rutledge,Village 2,10720,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Electrical applicances getting affected,"['May', 'December', 'February']","['Could not charge a phone', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,502,Grid,No,Diesel,Sometimes available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,5,3,0
Michelle May,Village 1,8256,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Tina Corral,Village 4,7433,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,640,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Janice Smith,Village 3,9949,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,No Problem,"['February', 'December', 'November']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1070,Grid,No,Diesel,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,5,5,5,3,2
Nathan Jones,Village 4,13297,7,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Fluctuations,"['January', 'October', 'June']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,No one (for free),Cash,Yes,Yes,Already using,1-3 months,1553,669,Already using,Yes,Appliances,1943,Solar,No,Diesel,Sometimes available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,3,2
Megan Peterson,Village 3,6903,4,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,16,Fluctuations,"['December', 'January', 'February']","['Could not cook', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,362,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,3,2
Harry Farmer,Village 1,3012,2,Yes,Already Connected,22,3,30,10,0,50,0,0,0,0,LPG,Yes,131.37812,8,Electrical applicances getting affected,"['May', 'August', 'January']","['Children could not study', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,Low income,90,2.7,1,4,4,3,2,5,3,1
Porfirio Conner,Village 3,12985,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,3-6 months,1706,504,Already using,Yes,Appliances,1818,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Jayme Murphy,Village 4,13670,8,Yes,Already Connected,5,9,15,0,40,40,40,180,220,650,LPG,Yes,318.47858,20,Fluctuations,"['August', 'June', 'April']","['Children could not study', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Cash,Yes,Yes,Already using,1-3 months,2450,1262,Already using,Yes,Appliances,1711,Solar,No,Diesel,Always available,4,42,10,Initial investment is high,1185,35.55,3,2,3,3,5,5,3,2
Amanda Tower,Village 3,5171,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Fluctuations,"['January', 'May', 'October']","['Children could not study', 'Could not operate a household business']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,629,Shop,Yes,NA,NA,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,5,3,2
Wayne Poole,Village 1,4500,3,No,Can't afford electricity bill,22,4,30,10,0,50,80,0,0,0,LPG,No,145.04756,8,Fluctuations,"['August', 'March', 'October']","['Children could not study', 'Could not cook']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Rarely available,4,42,10,Low income,170,5.1,1,4,4,3,2,3,5,1
Mattie Cochran,Village 4,8060,4,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,20,Long Power Cuts,"['February', 'May', 'August']","['Could not charge a phone', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,384,Shop,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,5,3,2
Scott Guest,Village 4,14724,7,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Electrical applicances getting affected,"['May', 'October', 'August']","['Could not charge a phone', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,No one (for free),Cash,No,Yes,Already using,More than a year,2422,602,Already using,Yes,Lighting,1135,Solar,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,5,2
